population_share,access_share
0.0,0.0
0.0001100957833314984,8.950793874841812e-05
0.0002201915666629968,0.00017901587749683624
0.0003302873499944952,0.0002685238162452544
0.0004403831333259936,0.0003580317549936725
0.0005504789166574921,0.00044753969374209063
0.0006605746999889904,0.0005370476324905088
0.0007706704833204889,0.0006265555712389268
0.0008807662666519872,0.000716063509987345
0.0009908620499834856,0.0008055714487357631
0.0011009578333149841,0.0008950793874841813
0.0012110536166464825,0.0009845873262325994
0.0013211493999779808,0.0010740952649810176
0.0014312451833094792,0.0011636032037294355
0.0015413409666409777,0.0012531111424778536
0.001651436749972476,0.001342619081226272
0.0017615325333039744,0.00143212701997469
0.0018716283166354728,0.0015216349587231079
0.001981724099966971,0.001611142897471526
0.0020918198832984695,0.001700650836219944
0.0022019156666299683,0.0017901587749683619
0.0023120114499614666,0.0018796667137167798
0.002422107233292965,0.001969174652465198
0.0025322030166244633,0.002058682591213616
0.0026422987999559617,0.002148190529962034
0.00275239458328746,0.0022376984687104517
0.0028624903666189584,0.0023272064074588697
0.0029725861499504567,0.0024167143462072876
0.0030826819332819555,0.0025062222849557055
0.003192777716613454,0.0025957302237041235
0.003302873499944952,0.002685238162452542
0.0034129692832764505,0.0027747461012009597
0.003523065066607949,0.0028642540399493777
0.0036331608499394472,0.0029537619786977956
0.0037432566332709456,0.0030432699174462135
0.003853352416602444,0.0031327778561946315
0.003963448199933942,0.0032222857949430494
0.004073543983265441,0.0033117937336914673
0.004183639766596939,0.0034013016724398853
0.004293735549928438,0.003490809611188303
0.0044038313332599366,0.0035803175499367216
0.0045139271165914345,0.0036698254886851395
0.004624022899922933,0.0037593334274335574
0.004734118683254431,0.0038488413661819753
0.00484421446658593,0.003938349304930393
0.004954310249917428,0.004027857243678812
0.005064406033248927,0.004117365182427229
0.0051745018165804246,0.0042068731211756475
0.005284597599911923,0.004296381059924065
0.005394693383243422,0.004385888998672483
0.00550478916657492,0.004475396937420901
0.005614884949906419,0.004564904876169319
0.005724980733237917,0.004654412814917737
0.0058350765165694155,0.004743920753666155
0.0059451722999009134,0.004833428692414573
0.006055268083232412,0.004922936631162991
0.006165363866563911,0.005012444569911409
0.006275459649895409,0.005101952508659827
0.006385555433226908,0.005191460447408245
0.006495651216558406,0.005280968386156663
0.006605746999889904,0.005370476324905081
0.006715842783221402,0.0054599842636534985
0.006825938566552901,0.005549492202401917
0.006936034349884399,0.005639000141150334
0.007046130133215898,0.005728508079898753
0.007156225916547397,0.005818016018647171
0.0072663216998788945,0.005907523957395589
0.007376417483210393,0.005997031896144007
0.007486513266541891,0.0060865398348924245
0.00759660904987339,0.006176047773640843
0.007706704833204888,0.00626555571238926
0.007816800616536387,0.006355063651137679
0.007926896399867885,0.006444571589886096
0.008036992183199384,0.0065340795286345146
0.008147087966530882,0.006623587467382933
