kelurahan_id,poi_reach_cbd_weighted
IDN.4.3.10.1_1,
IDN.4.3.10.2_1,
IDN.4.3.10.3_1,
IDN.4.3.10.4_1,
IDN.4.3.10.5_1,
IDN.4.3.10.6_1,
IDN.4.3.10.7_1,
IDN.4.3.11.1_1,
IDN.4.3.11.2_1,
IDN.4.3.11.3_1,
IDN.4.3.11.4_1,
IDN.4.3.11.5_1,
IDN.4.3.12.10_1,
IDN.4.3.12.11_1,
IDN.4.3.12.1_1,
IDN.4.3.12.2_1,109.0
IDN.4.3.12.3_1,
IDN.4.3.12.4_1,
IDN.4.3.12.5_1,
IDN.4.3.12.6_1,109.0
IDN.4.3.12.7_1,50.0
IDN.4.3.12.8_1,82.0
IDN.4.3.12.9_1,84.0
IDN.4.3.13.1_1,
IDN.4.3.13.2_1,
IDN.4.3.13.3_1,96.0
IDN.4.3.13.4_1,111.0
IDN.4.3.8.10_1,
IDN.4.3.8.11_1,114.0
IDN.4.3.8.12_1,
IDN.4.3.8.13_1,
IDN.4.3.8.14_1,
IDN.4.3.8.15_1,
IDN.4.3.8.16_1,
IDN.4.3.8.2_1,
IDN.4.3.8.3_1,
IDN.4.3.8.4_1,
IDN.4.3.8.5_1,
IDN.4.3.8.6_1,
IDN.4.3.8.7_1,115.0
IDN.4.3.8.8_1,
IDN.4.3.8.9_1,
IDN.4.3.9.1_1,
IDN.4.3.9.2_1,
IDN.4.3.9.3_1,
IDN.4.3.9.4_1,
IDN.4.3.9.5_1,
IDN.4.3.9.6_1,
IDN.4.3.9.7_1,
IDN.4.3.9.8_1,
