kelurahan_id,poi_reach_cbd_weighted
IDN.9.10.1.1_1,109.0
IDN.9.10.1.2_1,119.0
IDN.9.10.1.3_1,
IDN.9.10.1.4_1,
IDN.9.10.1.5_1,102.0
IDN.9.10.1.6_1,
IDN.9.10.2.1_1,
IDN.9.10.2.2_1,
IDN.9.10.2.3_1,
IDN.9.10.2.4_1,
IDN.9.10.2.5_1,
IDN.9.10.2.6_1,
IDN.9.10.2.7_1,
IDN.9.10.3.1_1,
IDN.9.10.3.2_1,
IDN.9.10.3.3_1,
IDN.9.10.3.4_1,
IDN.9.10.3.5_1,
IDN.9.10.4.1_1,
IDN.9.10.4.2_1,
IDN.9.10.4.3_1,
IDN.9.10.4.4_1,
IDN.9.10.4.5_1,
IDN.9.10.4.6_1,
IDN.9.10.5.1_1,
IDN.9.10.5.2_1,
IDN.9.10.5.3_1,92.56521739130434
IDN.9.10.5.4_1,99.1304347826087
IDN.9.10.6.1_1,
IDN.9.10.6.2_1,
IDN.9.10.6.3_1,
IDN.9.10.6.4_1,
IDN.9.10.6.5_1,
IDN.9.10.7.1_1,
IDN.9.10.7.2_1,
IDN.9.5.39.1_1,
IDN.9.5.39.2_1,
IDN.9.5.39.3_1,
IDN.9.5.39.4_1,
IDN.9.5.39.5_1,
IDN.9.5.39.6_1,
IDN.9.5.39.7_1,
IDN.9.5.39.8_1,
IDN.9.5.39.9_1,
IDN.9.5.40.1_1,
IDN.9.5.40.2_1,
IDN.9.5.40.3_1,
IDN.9.5.40.4_1,
IDN.9.5.40.5_1,
IDN.9.5.40.6_1,
