kelurahan_id,kelurahan_name,kota_kab_name,area_km2,population,pop_density
IDN.4.3.1.1_1,Batuceper,KotaTangerang,1.5434637851028647,35256,22842.1
IDN.4.3.1.2_1,Batujaya,KotaTangerang,1.2154124463197913,22839,18791.2
IDN.4.3.1.3_1,Batusari,KotaTangerang,1.468349309271953,33983,23143.7
IDN.4.3.1.4_1,KebonBesar,KotaTangerang,1.2120052814703781,35753,29499.0
IDN.4.3.1.5_1,PorisJaya,KotaTangerang,0.7921293086036655,14888,18794.9
IDN.4.3.1.6_1,Porisgaga,KotaTangerang,1.4750949642599007,28031,19002.8
IDN.4.3.1.7_1,PorisgagaBaru,KotaTangerang,1.0107374306236598,29917,29599.2
IDN.4.3.2.1_1,Belendung,KotaTangerang,2.8952878787569523,69685,24068.4
IDN.4.3.2.2_1,Benda,KotaTangerang,3.1914310544642355,54036,16931.6
IDN.4.3.2.3_1,Jurumudi,KotaTangerang,2.808053343832933,65427,23299.8
IDN.4.3.2.4_1,JurumudiBaru,KotaTangerang,1.8102934529706864,31346,17315.4
IDN.4.3.2.5_1,Pajang,KotaTangerang,17.40124509749638,287572,16525.9
IDN.4.3.3.1_1,Cibodas,KotaTangerang,1.366223119496966,26434,19348.2
IDN.4.3.3.2_1,CibodasBaru,KotaTangerang,0.7509010629405003,5744,7649.5
IDN.4.3.3.3_1,Cibodasari,KotaTangerang,0.9638513981642383,8449,8765.9
IDN.4.3.3.4_1,Jatiuwung,KotaTangerang,1.4943476582661075,21869,14634.5
IDN.4.3.3.5_1,PanungganganBarat,KotaTangerang,2.8638639475207195,36835,12862.0
IDN.4.3.3.6_1,UwungJaya,KotaTangerang,1.5695041233034488,30629,19515.1
IDN.4.3.4.1_1,Paninggilan,KotaTangerang,1.1650908677837408,17940,15397.9
IDN.4.3.4.2_1,PaninggilanUtara,KotaTangerang,1.0462073599904111,12773,12208.9
IDN.4.3.4.3_1,ParungSerab,KotaTangerang,1.4677446420258158,44022,29993.0
IDN.4.3.4.4_1,SudimaraBarat,KotaTangerang,1.034893008789917,20343,19657.1
IDN.4.3.4.5_1,SudimaraJaya,KotaTangerang,0.8823327610162102,19138,21690.2
IDN.4.3.4.6_1,SudimaraSelatan,KotaTangerang,1.0534826289356995,12594,11954.6
IDN.4.3.4.7_1,SudimaraTimur,KotaTangerang,0.8674677661846298,15575,17954.6
IDN.4.3.4.8_1,Tajur,KotaTangerang,1.4335509919806253,30600,21345.6
IDN.4.3.5.1_1,Cipondoh,KotaTangerang,1.690312184134315,22406,13255.5
IDN.4.3.5.2_1,CipondohIndah,KotaTangerang,1.3780056275292702,31607,22936.8
IDN.4.3.5.3_1,CipondohMakmur,KotaTangerang,1.5049801973653354,25042,16639.4
IDN.4.3.5.4_1,Gondrong,KotaTangerang,1.7281090040973681,33006,19099.5
IDN.4.3.5.5_1,Kenanga,KotaTangerang,1.9886727698392899,33545,16868.0
IDN.4.3.5.6_1,Ketapang,KotaTangerang,1.4035260589972907,42105,29999.4
IDN.4.3.5.7_1,Petir,KotaTangerang,2.301223393613533,48772,21193.9
IDN.4.3.5.8_1,PorisPlawad,KotaTangerang,1.7928719671720101,24247,13524.1
IDN.4.3.5.9_1,PorisPlawadIndah,KotaTangerang,2.3115079719925595,56823,24582.7
IDN.4.3.5.10_1,PorisPlawadUtara,KotaTangerang,1.332250069366761,16797,12608.0
IDN.4.3.6.1_1,AlamJaya,KotaTangerang,1.3213477781951837,23991,18156.5
IDN.4.3.6.2_1,Gandasari,KotaTangerang,3.711027795485442,26623,7174.0
